facility_id,state,facility_type,patients_served,staff_count,bed_count,services,accepts_insurance,year,urban_rural,operating_months,patients_per_staff,num_services,is_overburdened
FAC202100000,MI,State Mental Hospital,4886.0,176.0,48.0,"Medication Management, Group Therapy, Substance Abuse Treatment, Telehealth Services, Crisis Intervention",False,2021,Rural,4,27.8,5,False
FAC202100001,AL,Community Mental Health Center,479.0,189.0,154.0,"Group Therapy, Individual Therapy, Substance Abuse Treatment",False,2021,Urban,3,2.5,3,False
FAC202100002,VA,Psychiatric Hospital,2925.0,127.0,154.0,"Group Therapy, Telehealth Services, Child and Adolescent Services, Substance Abuse Treatment",False,2021,Rural,6,23.0,4,False
FAC202100003,NM,Community Mental Health Center,2425.0,69.0,154.0,"Individual Therapy, Telehealth Services",False,2021,Suburban,10,35.1,2,False
FAC202100004,MN,Residential Treatment Center,4899.0,152.0,214.0,Telehealth Services,False,2021,Rural,7,32.2,1,False
FAC202100005,VT,School Based Program,1871.0,107.0,154.0,"Individual Therapy, Group Therapy, Crisis Intervention, Medication Management, Child and Adolescent Services",False,2021,Rural,9,17.5,5,False
FAC202100006,NV,Residential Treatment Center,459.0,20.0,154.0,"Substance Abuse Treatment, Crisis Intervention, Medication Management",False,2021,Urban,12,23.0,3,False
FAC202100007,NJ,Veterans Affairs Medical Center,1693.0,64.0,39.0,"Substance Abuse Treatment, Case Management, Individual Therapy",True,2021,Urban,3,26.5,3,False
FAC202100008,MI,Residential Treatment Center,4794.0,163.0,283.0,"Individual Therapy, Medication Management, Child and Adolescent Services",True,2021,Rural,11,29.4,3,False
FAC202100009,NJ,School Based Program,4555.0,57.0,219.0,"Case Management, Child and Adolescent Services",False,2021,Suburban,2,79.9,2,True
FAC202100010,MO,Psychiatric Hospital,289.0,166.0,25.0,"Crisis Intervention, Medication Management, Telehealth Services, Child and Adolescent Services, Individual Therapy, Substance Abuse Treatment, Case Management",False,2021,Rural,1,1.7,7,False
FAC202100011,IL,State Mental Hospital,4318.0,119.0,215.0,"Case Management, Substance Abuse Treatment, Child and Adolescent Services, Group Therapy, Individual Therapy",True,2021,Suburban,1,36.3,5,False
FAC202100012,CT,Private Practice,1759.0,157.0,234.0,"Crisis Intervention, Child and Adolescent Services",False,2021,Rural,3,11.2,2,False
FAC202100013,RI,Residential Treatment Center,4985.0,134.0,267.0,"Child and Adolescent Services, Medication Management, Case Management, Crisis Intervention, Telehealth Services, Group Therapy, Individual Therapy",False,2021,Suburban,7,37.2,7,False
FAC202100014,CT,Private Practice,434.0,167.0,66.0,"Crisis Intervention, Medication Management, Substance Abuse Treatment, Case Management",False,2021,Urban,2,2.6,4,False
FAC202100015,ND,Outpatient Clinic,4015.0,33.0,154.0,"Substance Abuse Treatment, Group Therapy, Individual Therapy, Case Management, Telehealth Services, Medication Management, Crisis Intervention",True,2021,Suburban,7,121.7,7,True
FAC202100016,PA,School Based Program,493.0,41.0,17.0,"Telehealth Services, Group Therapy, Medication Management, Child and Adolescent Services",False,2021,Urban,6,12.0,4,False
FAC202100017,DE,Veterans Affairs Medical Center,807.0,57.0,245.0,"Substance Abuse Treatment, Group Therapy, Crisis Intervention",False,2021,Suburban,3,14.2,3,False
FAC202100018,AK,Outpatient Clinic,4145.0,118.0,248.0,"Child and Adolescent Services, Substance Abuse Treatment, Group Therapy, Individual Therapy, Telehealth Services",True,2021,Rural,12,35.1,5,False
FAC202100019,WA,Veterans Affairs Medical Center,2099.0,53.0,65.0,Telehealth Services,False,2021,Rural,6,39.6,1,False
FAC202100020,ND,State Mental Hospital,2425.0,145.0,131.0,Substance Abuse Treatment,True,2021,Rural,8,16.7,1,False
FAC202100021,PA,Private Practice,2729.0,182.0,292.0,"Group Therapy, Telehealth Services, Crisis Intervention, Child and Adolescent Services, Individual Therapy, Medication Management, Case Management",True,2021,Rural,1,15.0,7,False
FAC202100022,NE,Private Practice,4462.0,160.0,73.0,"Telehealth Services, Child and Adolescent Services, Medication Management, Group Therapy",True,2021,Urban,9,27.9,4,False
FAC202100023,AZ,Outpatient Clinic,1885.0,105.0,206.0,"Medication Management, Crisis Intervention, Telehealth Services, Individual Therapy, Child and Adolescent Services, Group Therapy, Case Management",False,2021,Suburban,12,18.0,7,False
FAC202100024,WI,Private Practice,4425.0,107.0,154.0,Case Management,False,2021,Urban,12,41.4,1,False
FAC202100025,OK,Veterans Affairs Medical Center,4465.0,188.0,165.0,"Child and Adolescent Services, Group Therapy, Individual Therapy",True,2021,Urban,3,23.8,3,False
FAC202100026,WY,State Mental Hospital,4516.0,9.0,90.0,"Medication Management, Substance Abuse Treatment, Child and Adolescent Services, Crisis Intervention, Individual Therapy, Telehealth Services, Case Management",True,2021,Rural,8,501.8,7,True
FAC202100027,KY,Veterans Affairs Medical Center,509.0,129.0,154.0,"Child and Adolescent Services, Case Management",True,2021,Urban,1,3.9,2,False
FAC202100028,DC,State Mental Hospital,3532.0,35.0,154.0,"Crisis Intervention, Child and Adolescent Services, Substance Abuse Treatment, Case Management",False,2021,Suburban,5,100.9,4,True
FAC202100029,NJ,Psychiatric Hospital,2425.0,129.0,154.0,"Case Management, Medication Management, Substance Abuse Treatment, Group Therapy, Individual Therapy, Crisis Intervention, Telehealth Services",True,2021,Urban,11,18.8,7,False
FAC202100030,CO,Community Mental Health Center,2484.0,76.0,154.0,"Child and Adolescent Services, Individual Therapy",False,2021,Rural,12,32.7,2,False
FAC202100031,WY,Psychiatric Hospital,2425.0,84.0,291.0,"Substance Abuse Treatment, Medication Management, Crisis Intervention, Telehealth Services, Case Management, Child and Adolescent Services",False,2021,Urban,4,28.9,6,False
FAC202100032,RI,State Mental Hospital,2783.0,73.0,273.0,"Case Management, Crisis Intervention, Telehealth Services, Group Therapy, Individual Therapy, Child and Adolescent Services, Substance Abuse Treatment",False,2021,Urban,5,38.1,7,False
FAC202100033,TX,Community Mental Health Center,896.0,179.0,299.0,"Child and Adolescent Services, Case Management, Crisis Intervention, Individual Therapy",False,2021,Rural,4,5.0,4,False
FAC202100034,IA,School Based Program,3914.0,64.0,20.0,"Child and Adolescent Services, Group Therapy",False,2021,Urban,4,61.2,2,True
FAC202100035,DE,Community Mental Health Center,4000.0,171.0,106.0,"Substance Abuse Treatment, Telehealth Services, Crisis Intervention, Child and Adolescent Services, Case Management, Medication Management, Group Therapy",True,2021,Urban,4,23.4,7,False
FAC202100036,MI,State Mental Hospital,4953.0,121.0,154.0,"Individual Therapy, Case Management",False,2021,Suburban,3,40.9,2,False
FAC202100037,CT,School Based Program,4243.0,19.0,232.0,"Crisis Intervention, Group Therapy, Child and Adolescent Services",True,2021,Rural,4,223.3,3,True
FAC202100038,TN,Community Mental Health Center,2425.0,124.0,254.0,"Telehealth Services, Individual Therapy",False,2021,Rural,8,19.6,2,False
FAC202100039,MI,Community Mental Health Center,333.0,129.0,127.0,"Individual Therapy, Child and Adolescent Services, Substance Abuse Treatment, Telehealth Services",False,2021,Suburban,9,2.6,4,False
FAC202100040,MT,State Mental Hospital,2952.0,14.0,216.0,"Case Management, Medication Management, Substance Abuse Treatment",True,2021,Urban,10,210.9,3,True
FAC202100041,DC,School Based Program,2425.0,33.0,154.0,"Case Management, Child and Adolescent Services",False,2021,Suburban,10,73.5,2,True
FAC202100042,HI,State Mental Hospital,3294.0,51.0,154.0,"Group Therapy, Individual Therapy, Substance Abuse Treatment",False,2021,Rural,2,64.6,3,True
FAC202100043,OR,Veterans Affairs Medical Center,2588.0,155.0,149.0,"Crisis Intervention, Telehealth Services, Medication Management",False,2021,Rural,9,16.7,3,False
FAC202100044,VA,Outpatient Clinic,1323.0,138.0,127.0,"Group Therapy, Substance Abuse Treatment",True,2021,Suburban,1,9.6,2,False
FAC202100045,TX,Community Mental Health Center,3820.0,50.0,33.0,"Telehealth Services, Group Therapy, Substance Abuse Treatment, Crisis Intervention, Case Management, Medication Management, Child and Adolescent Services",True,2021,Suburban,7,76.4,7,True
FAC202100046,MD,School Based Program,4503.0,63.0,36.0,Medication Management,False,2021,Rural,9,71.5,1,True
FAC202100047,ME,Private Practice,2912.0,176.0,181.0,"Telehealth Services, Case Management, Individual Therapy, Group Therapy, Crisis Intervention, Child and Adolescent Services",True,2021,Rural,5,16.5,6,False
FAC202100048,NE,Private Practice,684.0,57.0,69.0,"Individual Therapy, Case Management, Crisis Intervention",False,2021,Urban,11,12.0,3,False
FAC202100049,KS,Psychiatric Hospital,4635.0,40.0,154.0,"Individual Therapy, Child and Adolescent Services, Substance Abuse Treatment, Case Management",True,2021,Urban,12,115.9,4,True
FAC202100050,SD,Psychiatric Hospital,2425.0,93.0,297.0,"Telehealth Services, Crisis Intervention, Substance Abuse Treatment, Group Therapy, Medication Management",False,2021,Rural,2,26.1,5,False
FAC202100051,TX,Residential Treatment Center,3324.0,95.0,107.0,"Case Management, Individual Therapy, Crisis Intervention, Group Therapy, Medication Management, Child and Adolescent Services",True,2021,Urban,8,35.0,6,False
FAC202100052,IL,Outpatient Clinic,2425.0,131.0,86.0,Child and Adolescent Services,False,2021,Urban,11,18.5,1,False
FAC202100053,ID,Veterans Affairs Medical Center,84.0,148.0,251.0,"Individual Therapy, Case Management, Telehealth Services, Substance Abuse Treatment, Child and Adolescent Services",True,2021,Rural,3,0.6,5,False
FAC202100054,MD,State Mental Hospital,1627.0,77.0,102.0,"Case Management, Telehealth Services, Child and Adolescent Services, Medication Management, Substance Abuse Treatment",True,2021,Rural,10,21.1,5,False
FAC202100055,ND,Private Practice,4801.0,46.0,288.0,Individual Therapy,False,2021,Urban,3,104.4,1,True
FAC202100056,IA,Psychiatric Hospital,2249.0,168.0,19.0,"Group Therapy, Substance Abuse Treatment, Child and Adolescent Services, Individual Therapy, Medication Management, Crisis Intervention",False,2021,Rural,5,13.4,6,False
FAC202100057,LA,Residential Treatment Center,4108.0,143.0,34.0,"Crisis Intervention, Child and Adolescent Services, Individual Therapy, Group Therapy, Case Management, Telehealth Services, Medication Management",True,2021,Rural,11,28.7,7,False
FAC202100058,MT,Veterans Affairs Medical Center,4641.0,59.0,134.0,"Case Management, Child and Adolescent Services, Medication Management, Group Therapy, Substance Abuse Treatment",True,2021,Urban,5,78.7,5,True
FAC202100059,DC,Community Mental Health Center,2425.0,145.0,123.0,"Substance Abuse Treatment, Crisis Intervention, Case Management",True,2021,Suburban,11,16.7,3,False
FAC202100060,DE,Veterans Affairs Medical Center,2425.0,95.0,271.0,"Child and Adolescent Services, Individual Therapy",True,2021,Suburban,8,25.5,2,False
FAC202100061,NV,Outpatient Clinic,3190.0,43.0,154.0,Crisis Intervention,True,2021,Suburban,3,74.2,1,True
FAC202100062,VT,Outpatient Clinic,1708.0,59.0,241.0,"Case Management, Child and Adolescent Services, Telehealth Services, Crisis Intervention, Individual Therapy",False,2021,Suburban,12,28.9,5,False
FAC202100063,GA,School Based Program,1535.0,45.0,179.0,"Crisis Intervention, Group Therapy, Telehealth Services, Medication Management, Child and Adolescent Services, Individual Therapy",True,2021,Rural,4,34.1,6,False
FAC202100064,OR,Psychiatric Hospital,1644.0,45.0,266.0,"Medication Management, Group Therapy, Substance Abuse Treatment, Crisis Intervention, Individual Therapy, Telehealth Services",True,2021,Rural,5,36.5,6,False
FAC202100065,TN,Community Mental Health Center,4068.0,149.0,165.0,"Crisis Intervention, Substance Abuse Treatment, Child and Adolescent Services, Case Management, Telehealth Services, Group Therapy",True,2021,Urban,10,27.3,6,False
FAC202100066,SC,Community Mental Health Center,2425.0,146.0,23.0,Child and Adolescent Services,True,2021,Rural,12,16.6,1,False
FAC202100067,MT,Community Mental Health Center,4253.0,143.0,57.0,"Substance Abuse Treatment, Telehealth Services",True,2021,Rural,5,29.7,2,False
FAC202100068,DE,Psychiatric Hospital,1363.0,180.0,154.0,"Telehealth Services, Individual Therapy, Group Therapy, Substance Abuse Treatment",True,2021,Rural,3,7.6,4,False
FAC202100069,SC,Outpatient Clinic,449.0,189.0,299.0,"Telehealth Services, Group Therapy, Child and Adolescent Services, Substance Abuse Treatment",True,2021,Urban,8,2.4,4,False
FAC202100070,MA,Veterans Affairs Medical Center,814.0,80.0,262.0,Case Management,False,2021,Urban,4,10.2,1,False
FAC202100071,NV,School Based Program,4018.0,145.0,149.0,"Medication Management, Group Therapy",False,2021,Urban,12,27.7,2,False
