facility_id,state,facility_type,patients_served,staff_count,bed_count,services,accepts_insurance,year,urban_rural,operating_months,patients_per_staff,num_services,is_overburdened
FAC202200000,NH,Psychiatric Hospital,2500.0,62.0,299.0,Medication Management,True,2022,Rural,10,40.3,1,False
FAC202200001,VA,Outpatient Clinic,1962.0,133.0,152.0,"Crisis Intervention, Child and Adolescent Services, Individual Therapy",False,2022,Rural,6,14.8,3,False
FAC202200002,WI,Psychiatric Hospital,3681.0,44.0,1.0,"Telehealth Services, Substance Abuse Treatment, Case Management",True,2022,Suburban,5,83.7,3,True
FAC202200003,WY,Community Mental Health Center,640.0,61.0,171.0,"Telehealth Services, Group Therapy, Individual Therapy, Substance Abuse Treatment, Child and Adolescent Services, Medication Management",False,2022,Urban,8,10.5,6,False
FAC202200004,WY,Psychiatric Hospital,2161.0,141.0,172.0,"Telehealth Services, Medication Management, Child and Adolescent Services, Substance Abuse Treatment, Individual Therapy, Case Management, Crisis Intervention",False,2022,Suburban,11,15.3,7,False
FAC202200005,WI,Psychiatric Hospital,592.0,78.0,136.0,"Substance Abuse Treatment, Telehealth Services, Medication Management",True,2022,Rural,2,7.6,3,False
FAC202200006,MO,State Mental Hospital,1239.0,172.0,275.0,"Group Therapy, Individual Therapy, Telehealth Services, Child and Adolescent Services, Crisis Intervention, Substance Abuse Treatment, Case Management",False,2022,Urban,10,7.2,7,False
FAC202200007,ME,School Based Program,54.0,39.0,16.0,"Case Management, Group Therapy, Medication Management, Crisis Intervention, Telehealth Services, Child and Adolescent Services, Individual Therapy",False,2022,Rural,4,1.4,7,False
FAC202200008,MO,Private Practice,3781.0,87.0,37.0,"Telehealth Services, Child and Adolescent Services, Case Management, Individual Therapy",True,2022,Rural,1,43.5,4,False
FAC202200009,KY,Residential Treatment Center,81.0,62.0,186.0,"Telehealth Services, Group Therapy, Child and Adolescent Services, Substance Abuse Treatment",False,2022,Urban,11,1.3,4,False
FAC202200010,TN,Psychiatric Hospital,4869.0,137.0,31.0,"Case Management, Medication Management, Substance Abuse Treatment",True,2022,Rural,3,35.5,3,False
FAC202200011,ND,Community Mental Health Center,4046.0,141.0,295.0,"Telehealth Services, Group Therapy",False,2022,Rural,11,28.7,2,False
FAC202200012,NV,Residential Treatment Center,867.0,78.0,152.0,"Substance Abuse Treatment, Individual Therapy, Group Therapy, Crisis Intervention, Medication Management, Child and Adolescent Services, Case Management",True,2022,Suburban,1,11.1,7,False
FAC202200013,ID,Veterans Affairs Medical Center,3906.0,96.0,129.0,"Group Therapy, Substance Abuse Treatment",False,2022,Rural,5,40.7,2,False
FAC202200014,MD,School Based Program,354.0,101.0,181.0,"Crisis Intervention, Medication Management",True,2022,Suburban,4,3.5,2,False
FAC202200015,NM,State Mental Hospital,535.0,102.0,43.0,"Group Therapy, Child and Adolescent Services, Telehealth Services, Case Management, Substance Abuse Treatment, Crisis Intervention",True,2022,Rural,4,5.2,6,False
FAC202200016,SD,Community Mental Health Center,2581.0,117.0,275.0,"Child and Adolescent Services, Medication Management, Telehealth Services, Substance Abuse Treatment, Individual Therapy, Case Management",True,2022,Rural,6,22.1,6,False
FAC202200017,ID,Community Mental Health Center,4589.0,90.0,172.0,"Case Management, Telehealth Services",False,2022,Rural,12,51.0,2,True
FAC202200018,WI,Veterans Affairs Medical Center,3336.0,35.0,196.0,"Substance Abuse Treatment, Individual Therapy, Case Management, Telehealth Services, Child and Adolescent Services",True,2022,Urban,5,95.3,5,True
FAC202200019,MD,Residential Treatment Center,3856.0,84.0,230.0,"Child and Adolescent Services, Group Therapy",False,2022,Rural,11,45.9,2,False
FAC202200020,RI,Community Mental Health Center,1328.0,100.0,291.0,"Group Therapy, Individual Therapy, Substance Abuse Treatment",True,2022,Urban,9,13.3,3,False
FAC202200021,FL,Veterans Affairs Medical Center,2882.0,77.0,251.0,"Medication Management, Substance Abuse Treatment, Group Therapy",True,2022,Rural,10,37.4,3,False
FAC202200022,IA,Private Practice,699.0,99.0,152.0,Individual Therapy,True,2022,Urban,6,7.1,1,False
FAC202200023,NJ,Veterans Affairs Medical Center,4849.0,32.0,152.0,"Substance Abuse Treatment, Case Management, Group Therapy, Medication Management, Crisis Intervention, Telehealth Services",True,2022,Urban,9,151.5,6,True
FAC202200024,KY,Residential Treatment Center,888.0,93.0,152.0,"Crisis Intervention, Medication Management, Child and Adolescent Services, Individual Therapy, Substance Abuse Treatment, Case Management",True,2022,Suburban,8,9.5,6,False
FAC202200025,NE,School Based Program,4273.0,115.0,182.0,"Group Therapy, Individual Therapy, Medication Management, Child and Adolescent Services, Case Management, Telehealth Services, Crisis Intervention",True,2022,Urban,6,37.2,7,False
FAC202200026,ID,State Mental Hospital,2500.0,116.0,47.0,"Case Management, Medication Management, Telehealth Services, Crisis Intervention",False,2022,Rural,5,21.6,4,False
FAC202200027,NM,Private Practice,3698.0,120.0,119.0,"Case Management, Substance Abuse Treatment, Child and Adolescent Services, Individual Therapy, Crisis Intervention",True,2022,Urban,5,30.8,5,False
FAC202200028,ND,Psychiatric Hospital,282.0,128.0,90.0,"Crisis Intervention, Substance Abuse Treatment, Case Management, Telehealth Services, Individual Therapy",True,2022,Urban,12,2.2,5,False
FAC202200029,AZ,Outpatient Clinic,1428.0,82.0,52.0,"Individual Therapy, Child and Adolescent Services",True,2022,Rural,3,17.4,2,False
FAC202200030,KY,Private Practice,1659.0,157.0,98.0,Case Management,True,2022,Rural,3,10.6,1,False
FAC202200031,KS,School Based Program,431.0,100.0,30.0,"Group Therapy, Substance Abuse Treatment, Child and Adolescent Services, Crisis Intervention",True,2022,Suburban,11,4.3,4,False
FAC202200032,MS,Psychiatric Hospital,1742.0,20.0,152.0,"Child and Adolescent Services, Individual Therapy, Telehealth Services",False,2022,Rural,11,87.1,3,True
FAC202200033,PA,Private Practice,1379.0,35.0,152.0,Child and Adolescent Services,True,2022,Urban,5,39.4,1,False
FAC202200034,LA,Veterans Affairs Medical Center,2500.0,159.0,65.0,"Child and Adolescent Services, Case Management, Crisis Intervention, Substance Abuse Treatment, Telehealth Services, Medication Management, Individual Therapy",False,2022,Rural,9,15.7,7,False
FAC202200035,MS,Psychiatric Hospital,259.0,86.0,162.0,"Medication Management, Group Therapy, Case Management, Individual Therapy, Substance Abuse Treatment, Telehealth Services",True,2022,Urban,5,3.0,6,False
FAC202200036,MI,School Based Program,822.0,13.0,114.0,"Individual Therapy, Child and Adolescent Services, Telehealth Services, Substance Abuse Treatment, Crisis Intervention, Group Therapy",True,2022,Suburban,4,63.2,6,True
FAC202200037,PA,Community Mental Health Center,424.0,14.0,152.0,"Group Therapy, Child and Adolescent Services",True,2022,Urban,6,30.3,2,False
FAC202200038,DC,Residential Treatment Center,1821.0,106.0,24.0,"Telehealth Services, Substance Abuse Treatment, Individual Therapy, Child and Adolescent Services, Group Therapy, Crisis Intervention, Medication Management",False,2022,Urban,3,17.2,7,False
FAC202200039,MD,Psychiatric Hospital,4134.0,126.0,118.0,"Child and Adolescent Services, Telehealth Services, Substance Abuse Treatment, Individual Therapy, Group Therapy, Crisis Intervention, Case Management",False,2022,Urban,1,32.8,7,False
FAC202200040,IL,Community Mental Health Center,3653.0,100.0,104.0,"Crisis Intervention, Individual Therapy, Substance Abuse Treatment",False,2022,Urban,5,36.5,3,False
FAC202200041,VA,Psychiatric Hospital,697.0,173.0,193.0,"Telehealth Services, Medication Management, Crisis Intervention, Individual Therapy, Child and Adolescent Services",True,2022,Urban,7,4.0,5,False
FAC202200042,WY,Psychiatric Hospital,2500.0,118.0,167.0,"Substance Abuse Treatment, Individual Therapy",True,2022,Rural,11,21.2,2,False
FAC202200043,NE,Community Mental Health Center,2500.0,181.0,245.0,Crisis Intervention,False,2022,Rural,6,13.8,1,False
